"gamma","lambda_0","theta"
17.156309242294,14.5145213160799,1.2764551629971
16.3395322653059,14.8489434482606,1.26968040340845
16.2073506532591,14.0061816881425,1.05133305418404
17.1197011556891,14.0242222120934,1.16144851667811
16.4529428972745,14.6090487304599,1.18298385384417
15.9870363008214,14.9004073341028,1.20831632328851
18.6931975862458,14.5245862773679,1.33117297122814
16.5022809408999,14.4322889107086,1.18896480712091
17.3137066417862,14.4524434538342,1.30068744914892
16.9887968332195,14.4399139812622,1.18353178332441
17.2950660196118,14.7981492201874,1.36243819040673
16.815282540966,14.4204612408336,1.30186505749488
16.947605070722,14.6524427906963,1.30434055220005
16.3352924156143,14.621037510489,1.23587109778873
17.9884958870883,14.7194664477345,1.38802617429855
15.5713430555598,14.5661382185982,1.19644041667436
18.2193000292315,14.4166519538742,1.29378793191134
17.1563817541711,13.9569602173406,1.18469065252836
16.6775613515015,14.7348100148319,1.30147382091574
17.444459767145,14.8105790708738,1.41339722148512
15.6801505287217,15.1218143448794,1.28829556373319
16.8835087976251,15.1248020217493,1.38713227758473
17.3419392686889,14.4272846141372,1.18971895807435
17.9589926736487,14.5374360895502,1.24892238018088
16.6377794255047,14.7113436199476,1.28126310124019
15.3613671497044,15.1062250101384,1.29517534415102
18.6082809908807,14.2706126137578,1.37258160496521
17.9909093955795,15.6567864444551,1.53811623330477
15.6222493862604,14.2863090281942,1.12068468898925
16.9628359641648,13.9097031652372,1.17868922369537
15.7673959880258,15.3511984495187,1.27747637772801
16.5745728682529,14.6420287764178,1.28283048163754
17.7588720681658,14.3517995762072,1.32460056551964
16.9564228715505,14.9537054292509,1.3568175062088
16.3605104433937,14.8824440049746,1.29070780168443
17.9152809778875,14.113449645708,1.19117113780909
17.9081892792967,15.8610886976738,1.5153928361129
17.0330902331065,14.1973509311641,1.20334866320815
16.627191803504,14.9592639010832,1.28827939222489
16.2870664663674,14.9315446890229,1.26176336317442
17.4101184417417,13.8757985397297,1.13132743181812
16.680077939128,14.3492111365901,1.18479833641622
16.2912292545838,15.0736947300109,1.3521189423589
17.1879079206295,14.704790659386,1.26759211044221
15.432827329986,15.6538975198809,1.27963447772018
16.4085166123939,15.5295395174652,1.41541570610819
16.2154598144899,15.0605573445677,1.30348719485807
15.8390365396882,15.3463356401826,1.38463133518316
17.3454381443387,14.0782192430166,1.15871997170546
17.8836142137248,14.4809895912672,1.34252387130553
17.3167825001755,15.1889717903418,1.45515983754175
17.7779059752083,14.8008561118773,1.39142388219243
16.6709041470371,14.2402672185474,1.16472379938055
17.35444496294,14.5538482386287,1.31043469372588
18.0143893895578,13.9807010189674,1.19504109147193
18.6297215486868,15.0348767039341,1.46167973104914
17.1753167608265,14.9108066694063,1.32694015864114
16.0816933724735,14.5159415698531,1.20248230006175
17.4723859955071,14.1318589085307,1.2336085448301
17.7502778702322,14.0217600592108,1.27333570143376
16.3689007689709,14.8194728912555,1.19939421721604
16.7826860888048,14.4243529953758,1.20010275659168
19.0520134554019,15.3885955333713,1.54576768401336
17.0101114366894,14.3867878124866,1.24441676321098
18.32775815288,14.5043180690406,1.2988567180371
15.7860145198689,15.2508239334486,1.31118843460651
18.21638550939,14.1441913824978,1.28960991291475
16.8352604448368,14.5228946714465,1.29466794843785
16.4931250267897,14.6048234698968,1.27246486453197
16.9048281763083,14.4743353646099,1.23929358840086
16.234423571925,14.6475183749879,1.20556715932436
17.1750413174919,14.0055162427507,1.16708544621551
16.8966559580673,14.921703626846,1.3227786814222
17.4671295106331,14.5224222607352,1.39153736635457
