"gamma","lambda_0","theta","negLogLik"
0.4,0.1,1.25,1.31245452157445
2.66285714285714,0.1,1.25,-0.131421128134988
4.92571428571429,0.1,1.25,-0.636342416228496
7.18857142857143,0.1,1.25,-0.935702865961114
9.45142857142857,0.1,1.25,-1.14123758067035
11.7142857142857,0.1,1.25,-1.29270103909298
13.9771428571429,0.1,1.25,-1.40891862495439
16.24,0.1,1.25,-1.50031553280781
18.5028571428571,0.1,1.25,-1.57327649973713
20.7657142857143,0.1,1.25,-1.63199820532884
23.0285714285714,0.1,1.25,-1.67938800663937
25.2914285714286,0.1,1.25,-1.71754371444945
27.5542857142857,0.1,1.25,-1.74802898253391
29.8171428571429,0.1,1.25,-1.77204066955396
32.08,0.1,1.25,-1.79051536098664
34.3428571428571,0.1,1.25,-1.80419980953928
36.6057142857143,0.1,1.25,-1.8136990384044
38.8685714285714,0.1,1.25,-1.81951010518375
41.1314285714286,0.1,1.25,-1.82204637000989
43.3942857142857,0.1,1.25,-1.82165530356941
45.6571428571429,0.1,1.25,-1.81863179530949
47.92,0.1,1.25,-1.81322826126671
50.1828571428571,0.1,1.25,-1.80566243310663
52.4457142857143,0.1,1.25,-1.79612343897662
54.7085714285714,0.1,1.25,-1.78477660700885
56.9714285714286,0.1,1.25,-1.77176730060591
59.2342857142857,0.1,1.25,-1.75722401071512
61.4971428571428,0.1,1.25,-1.74126087144613
63.76,0.1,1.25,-1.72397972348307
66.0228571428571,0.1,1.25,-1.7054718194865
68.2857142857143,0.1,1.25,-1.68581924355063
70.5485714285714,0.1,1.25,-1.66509610040177
72.8114285714286,0.1,1.25,-1.64336951776632
75.0742857142857,0.1,1.25,-1.6207004960694
77.3371428571429,0.1,1.25,-1.59714463255157
79.6,0.1,1.25,-1.5727527414436
0.4,0.665714285714286,1.25,0.308662623127949
2.66285714285714,0.665714285714286,1.25,-0.506989628626864
4.92571428571429,0.665714285714286,1.25,-0.888750742043932
7.18857142857143,0.665714285714286,1.25,-1.13101711013775
9.45142857142857,0.665714285714286,1.25,-1.30260436919621
11.7142857142857,0.665714285714286,1.25,-1.43118481184274
13.9771428571429,0.665714285714286,1.25,-1.53075319239117
16.24,0.665714285714286,1.25,-1.60939547843678
18.5028571428571,0.665714285714286,1.25,-1.67221507798157
20.7657142857143,0.665714285714286,1.25,-1.72264330755387
23.0285714285714,0.665714285714286,1.25,-1.76309991532635
25.2914285714286,0.665714285714286,1.25,-1.79535614604306
27.5542857142857,0.665714285714286,1.25,-1.82074803980779
29.8171428571429,0.665714285714286,1.25,-1.84030854895485
32.08,0.665714285714286,1.25,-1.85485297521334
34.3428571428571,0.665714285714286,1.25,-1.86503623664999
36.6057142857143,0.665714285714286,1.25,-1.87139243385929
38.8685714285714,0.665714285714286,1.25,-1.87436290600101
41.1314285714286,0.665714285714286,1.25,-1.87431657824485
43.3942857142857,0.665714285714286,1.25,-1.87156501251609
45.6571428571429,0.665714285714286,1.25,-1.86637373592422
47.92,0.665714285714286,1.25,-1.85897090062556
50.1828571428571,0.665714285714286,1.25,-1.84955399625441
52.4457142857143,0.665714285714286,1.25,-1.83829511832878
54.7085714285714,0.665714285714286,1.25,-1.82534515037718
56.9714285714286,0.665714285714286,1.25,-1.81083711815734
59.2342857142857,0.665714285714286,1.25,-1.7948889053252
61.4971428571428,0.665714285714286,1.25,-1.77760547120445
63.76,0.665714285714286,1.25,-1.75908067641873
