"","s_10","s_20","s_30","s_40","gamma","lambda_0","theta"
"1",-1.06625901526319,-1.5063505235297,-1.68925885991147,-1.74259233785912,12,3,1.25
"2",-1.10114278021086,-1.55924924284742,-1.74797084691428,-1.80277229471475,14.3333333333333,3,1.25
"3",-1.12506224758858,-1.60115819476042,-1.79569645390801,-1.85193085816954,16.6666666666667,3,1.25
"4",-1.14025600411407,-1.63432204695545,-1.83467966148423,-1.89232044819394,19,3,1.25
"5",-1.14832951813003,-1.66035045964647,-1.86652962970081,-1.92555602270201,21.3333333333333,3,1.25
"6",-1.15047547793547,-1.68043912456298,-1.89244167517713,-1.9528370404673,23.6666666666667,3,1.25
"7",-1.14760539573284,-1.69550177395632,-1.91332924183754,-1.97507999961087,26,3,1.25
"8",-1.14043233387181,-1.70625315390812,-1.92990684952768,-1.99300173136645,28.3333333333333,3,1.25
"9",-1.12952511783271,-1.71326339474594,-1.94274444791691,-2.00717397327862,30.6666666666667,3,1.25
"10",-1.11534511547405,-1.71699489432791,-1.95230428840201,-2.01806038565508,33,3,1.25
"11",-1.09827193016092,-1.71782808207456,-1.95896668008992,-2.02604240583839,35.3333333333333,3,1.25
"12",-1.07862180545062,-1.71607987327119,-1.96304843827899,-2.03143776532831,37.6666666666667,3,1.25
"13",-1.0566610988293,-1.71201717833174,-1.96481638942955,-2.03451404381144,40,3,1.25
"14",-1.0326163352997,-1.70586698234204,-1.96449744748555,-2.03549878126543,42.3333333333333,3,1.25
"15",-1.00668183626654,-1.69782399324828,-1.96228625960805,-2.03458715026359,44.6666666666667,3,1.25
"16",-0.979025595827206,-1.68805653273266,-1.95835109515406,-2.03194786500278,47,3,1.25
"17",-0.949793868207232,-1.6767111348267,-1.95283844280607,-2.02772779377872,49.3333333333333,3,1.25
"18",-0.919114792568748,-1.66391617939668,-1.94587664288349,-2.02205560319625,51.6666666666667,3,1.25
"19",-0.887101288716824,-1.64978479466459,-1.93757878892524,-2.01504466908641,54,3,1.25
"20",-0.853853393522246,-1.63441719903963,-1.92804506876407,-2.00679542498226,56.3333333333333,3,1.25
"21",-0.81946016333231,-1.61790260786377,-1.91736467065592,-1.9973972741745,58.6666666666667,3,1.25
"22",-0.784001235995155,-1.6003207989412,-1.90561734830379,-1.98693015952303,61,3,1.25
"23",-0.74754812331462,-1.58174340785071,-1.8928747157524,-1.97546586225151,63.3333333333333,3,1.25
"24",-0.710165288093991,-1.56223500733679,-1.87920132643157,-1.9630690841921,65.6666666666667,3,1.25
"25",-0.671911047610625,-1.54185401272614,-1.86465557828171,-1.94979835555705,68,3,1.25
"26",-1.11573566194136,-1.5645303365549,-1.75042272452961,-1.80416777151635,12,3.58333333333333,1.25
"27",-1.14497472010933,-1.61178331481007,-1.80349019738229,-1.85870245378018,14.3333333333333,3.58333333333333,1.25
"28",-1.16426988897148,-1.64906815228481,-1.84659258220286,-1.90323859066585,16.6666666666667,3.58333333333333,1.25
"29",-1.17558514263327,-1.67835440867692,-1.88169885008935,-1.93975293835679,19,3.58333333333333,1.25
"30",-1.18034480363104,-1.70107031018807,-1.91023679176251,-1.96967870946997,21.3333333333333,3.58333333333333,1.25
