"gamma","lambda_0","theta","boundary","theta.hat","lambda.hat","s"
4,23.9864204040409,2.19435810660744,1,2.18963623046875,25.7987013647633,10
4,24.0144765633149,2.20545551756196,1,2.21633911132812,26.1342519199021,10
4,24.1460684624397,2.20297428759072,1,2.20108032226562,26.003179283022,10
4,23.7728561128768,2.1717545845624,1,2.1820068359375,25.8276749289213,10
4,23.7645385807933,2.17423100359988,1,2.1820068359375,25.8178862322912,10
4,23.865664278695,2.19216757023923,1,2.197265625,25.8838042140982,10
4,23.9398053082975,2.18248353942797,1,2.1820068359375,25.8286619179961,10
4,24.0956805862116,2.1926574575136,1,2.18963623046875,25.9290675206332,10
4,23.8506691847266,2.19084138748799,1,2.20489501953125,25.9178898457015,10
4,23.9316551208809,2.19821094121191,1,2.20489501953125,25.9463694032583,10
4,24.1267256762502,2.20410069951319,1,2.20489501953125,26.0673386418181,10
4,23.6191736738575,2.17154314268493,1,2.17819213867188,25.651318494407,10
4,24.1070530797791,2.20161462058457,1,2.20489501953125,26.0860466212296,10
4,24.2560244054121,2.21041910219808,1,2.20870971679688,26.1670981923021,10
4,23.8386951675994,2.1867172352543,1,2.197265625,25.9226080341496,10
4,24.1213436849449,2.1948158423764,1,2.20108032226562,26.1476188000517,10
4,23.6260220933295,2.1751131620269,1,2.17819213867188,25.5935930584538,10
4,23.972762605131,2.1982852145249,1,2.20870971679688,26.0668227799885,10
4,23.5367608699625,2.16223795921416,1,2.1820068359375,25.824684208291,10
4,23.9516562021397,2.18814781811899,1,2.1820068359375,25.7843495497758,10
4,24.0896820763169,2.20366557522747,1,2.20108032226562,25.9545121842065,10
4,23.663904875305,2.17645906337612,1,2.19345092773438,25.8689261099863,10
4,23.9930816627048,2.18667218746561,1,2.18582153320312,25.8623691070785,10
4,23.7114741312782,2.1784703737509,1,2.19345092773438,25.8921901455913,10
4,23.7941662457152,2.1669228684435,1,2.166748046875,25.6774369487231,10
4,23.6103614808099,2.16524334845685,1,2.166748046875,25.5418288033388,10
4,23.8894304526716,2.20605209962161,1,2.2125244140625,25.931747196761,10
4,23.740673273582,2.17774417661544,1,2.17437744140625,25.6362837449857,10
4,24.0290894538819,2.19315433321473,1,2.197265625,26.0532087538146,10
4,24.2419121059052,2.20039709596169,1,2.20108032226562,26.0978508100814,10
4,23.5116232549237,2.15734536031369,1,2.16293334960938,25.5079299319531,10
4,24.0910480509607,2.19663250264351,1,2.18963623046875,25.8934874497814,10
4,23.8703052212776,2.18482802055232,1,2.18963623046875,25.8529102580802,10
4,23.5735024841863,2.1734706211034,1,2.18582153320312,25.6978606904741,10
4,24.0323469622838,2.19181451636975,1,2.18963623046875,25.8868227178326,10
4,23.7960504380672,2.19541887238945,1,2.20870971679688,25.945929346611,10
4,23.6971159716442,2.18140844397628,1,2.19345092773438,25.8793797583348,10
4,24.1320191105556,2.20262192118402,1,2.20489501953125,26.1109727142464,10
4,23.9275381479768,2.19203461345175,1,2.197265625,25.9235432089458,10
4,24.0087056605644,2.20409616779944,1,2.20870971679688,25.9840506684426,10
4,23.6923415215415,2.18530976865117,1,2.19345092773438,25.7606827655857,10
4,24.3558332049439,2.23654762479056,1,2.24685668945312,26.4446484618048,10
4,23.51629944902,2.18020620600221,1,2.197265625,25.7476691026333,10
4,23.9853070664674,2.20614546995835,1,2.22015380859375,26.1374994085031,10
4,24.0473657915977,2.20856288380706,1,2.22015380859375,26.1538129920492,10
4,24.2819052351732,2.21061354493614,1,2.20489501953125,26.0893429682781,10
4,24.2852050397613,2.21379632028358,1,2.22396850585938,26.3119516788134,10
4,23.7065944988869,2.1668286554856,1,2.166748046875,25.5786736448907,10
4,24.1217347909804,2.20851866917387,1,2.20870971679688,26.0288919315845,10
4,23.8653590308294,2.18408253936436,1,2.197265625,25.9626376159995,10
4,24.1338340687893,2.1946639290342,1,2.19345092773438,25.9891433904733,10
4,23.9317359379008,2.19770102657323,1,2.22015380859375,26.2347609179515,10
4,23.868988009487,2.19868549607105,1,2.20489501953125,25.9471287823377,10
4,23.966138510836,2.18615001532981,1,2.20108032226562,26.1432748757989,10
4,23.8591153153953,2.17639399346129,1,2.18582153320312,25.9140085174204,10
4,23.6975702379584,2.1742072997465,1,2.18963623046875,25.8298920717509,10
4,23.7963373312428,2.181110185406,1,2.19345092773438,25.888076558818,10
4,23.8199974427172,2.19706100426022,1,2.22015380859375,26.1408556033602,10
4,23.9167703802974,2.19213703539924,1,2.197265625,25.8345130130856,10
4,23.8697031699465,2.19042156578334,1,2.18582153320312,25.7422541106265,10
4,23.6200154986699,2.16801332008526,1,2.17437744140625,25.6246996432638,10
4,23.8434526269479,2.17718612292794,1,2.1820068359375,25.8168281432771,10
4,23.6039326748968,2.17814159076312,1,2.19345092773438,25.7687176049829,10
4,23.6509140562723,2.16701767994888,1,2.1820068359375,25.7955708729842,10
4,23.7387083068929,2.1645248273116,1,2.17437744140625,25.8401417058357,10
4,23.5314262358485,2.16151242791161,1,2.1820068359375,25.8017728807186,10
4,23.9334886684784,2.19681224502044,1,2.20489501953125,25.973582226152,10
4,23.8279611462764,2.19440750067797,1,2.20108032226562,25.8411118180303,10
4,23.9203909653802,2.1950811091802,1,2.20489501953125,25.9633785811196,10
4,24.1862242268546,2.21312726602209,1,2.2125244140625,26.1297782818113,10
4,23.7807619051719,2.17847637581026,1,2.1820068359375,25.7647626436967,10
4,23.6865120659673,2.18741235244745,1,2.20489501953125,25.8650107334431,10
4,24.0425766323569,2.20835147430972,1,2.21633911132812,26.107992165286,10
4,24.1603109382759,2.20483106399157,1,2.20489501953125,26.0473900792721,10
4,23.935391923125,2.18663466933717,1,2.18582153320312,25.8437800783564,10
4,23.6140800756012,2.1667422691708,1,2.17437744140625,25.6691350714133,10
4,23.9548375737409,2.19526516349782,1,2.197265625,25.9198174318211,10
4,23.8599697078037,2.17716975605273,1,2.17819213867188,25.7980574722818,10
4,23.8719494149545,2.19765882518076,1,2.20870971679688,26.0054974102502,10
4,23.8417701736656,2.17827452774085,1,2.17437744140625,25.7064649444666,10
4,23.8934770833539,2.19100946202699,1,2.20108032226562,25.9431685628393,10
4,23.7247035530159,2.19237664225557,1,2.20870971679688,25.9243417503496,10
4,24.0103626716883,2.1936826313632,1,2.20108032226562,26.0490095182205,10
4,24.0938955095904,2.20546571775826,1,2.20870971679688,26.0718771263882,10
4,24.1113858036453,2.20489213725132,1,2.20870971679688,26.1002865320988,10
4,24.0374178536768,2.19583728770315,1,2.20489501953125,26.1179811039893,10
4,23.8727453370291,2.17290418209906,1,2.17819213867188,25.8568876379802,10
4,23.6878191761332,2.18388643752915,1,2.197265625,25.7981001669818,10
