"gamma","lambda_0","theta","ave_neg_lik","s"
0.1,0.2,0.1,1.63605933463068,1
0.175,0.2,0.1,1.54169250073392,1
0.25,0.2,0.1,1.46521160419419,1
0.325,0.2,0.1,1.40176795151526,1
0.4,0.2,0.1,1.34829510176651,1
0.475,0.2,0.1,1.30271988590944,1
0.55,0.2,0.1,1.26356983051802,1
0.625,0.2,0.1,1.22975859752353,1
0.7,0.2,0.1,1.20046012151152,1
0.775,0.2,0.1,1.17503057041792,1
0.85,0.2,0.1,1.15295774700016,1
0.925,0.2,0.1,1.13382705053191,1
1,0.2,0.1,1.11729785911301,1
1.075,0.2,0.1,1.10308670447226,1
1.15,0.2,0.1,1.09095500984972,1
1.225,0.2,0.1,1.08069997432306,1
1.3,0.2,0.1,1.07214767682539,1
1.375,0.2,0.1,1.06514777791335,1
1.45,0.2,0.1,1.05956939237777,1
1.525,0.2,0.1,1.05529783371392,1
1.6,0.2,0.1,1.05223201725046,1
1.675,0.2,0.1,1.05028236741404,1
1.75,0.2,0.1,1.04936911547156,1
1.825,0.2,0.1,1.04942090301848,1
1.9,0.2,0.1,1.05037362726551,1
0.1,0.35,0.1,1.27001664871431,1
0.175,0.35,0.1,1.217193144932,1
0.25,0.35,0.1,1.17282822439276,1
0.325,0.35,0.1,1.13520035895687,1
0.4,0.35,0.1,1.10308027851475,1
0.475,0.35,0.1,1.0755567273191,1
0.55,0.35,0.1,1.05193377591895,1
0.625,0.35,0.1,1.0316668809641,1
0.7,0.35,0.1,1.01432126658634,1
0.775,0.35,0.1,0.999543826067692,1
0.85,0.35,0.1,0.987043560267551,1
0.925,0.35,0.1,0.976577598336463,1
1,0.35,0.1,0.967940979741544,1
1.075,0.35,0.1,0.960959037195995,1
1.15,0.35,0.1,0.955481619312937,1
1.225,0.35,0.1,0.951378640849862,1
1.3,0.35,0.1,0.948536608154642,1
1.375,0.35,0.1,0.946855872446574,1
1.45,0.35,0.1,0.946248434148735,1
1.525,0.35,0.1,0.946636169871944,1
1.6,0.35,0.1,0.947949387415496,1
1.675,0.35,0.1,0.950125638097916,1
1.75,0.35,0.1,0.953108732969866,1
1.825,0.35,0.1,0.956847922039886,1
1.9,0.35,0.1,0.961297204937,1
0.1,0.5,0.1,1.06113899715596,1
0.175,0.5,0.1,1.02873668689631,1
0.25,0.5,0.1,1.00126779923002,1
0.325,0.5,0.1,0.97792744205005,1
0.4,0.5,0.1,0.958099302013552,1
0.475,0.5,0.1,0.941299968811315,1
0.55,0.5,0.1,0.927142614934809,1
0.625,0.5,0.1,0.915312423312038,1
0.7,0.5,0.1,0.905549446945914,1
0.775,0.5,0.1,0.897636337297306,1
0.85,0.5,0.1,0.891389358866587,1
0.925,0.5,0.1,0.886651679870148,1
1,0.5,0.1,0.883288275402865,1
1.075,0.5,0.1,0.881181995942282,1
1.15,0.5,0.1,0.880230493089675,1
1.225,0.5,0.1,0.880343785975544,1
1.3,0.5,0.1,0.88144231335237,1
1.375,0.5,0.1,0.883455358672893,1
1.45,0.5,0.1,0.886319764989142,1
1.525,0.5,0.1,0.889978877481091,1
1.6,0.5,0.1,0.894381666538162,1
1.675,0.5,0.1,0.899481995357075,1
1.75,0.5,0.1,0.905238004184896,1
1.825,0.5,0.1,0.911611589444718,1
1.9,0.5,0.1,0.91856796060027,1
0.1,0.65,0.1,0.931054130723817,1
0.175,0.65,0.1,0.910834889355688,1
0.25,0.65,0.1,0.893847982335037,1
0.325,0.65,0.1,0.879653132999275,1
0.4,0.65,0.1,0.867897476971494,1
0.475,0.65,0.1,0.858293416917901,1
0.55,0.65,0.1,0.850603154832857,1
0.625,0.65,0.1,0.844627604104474,1
0.7,0.65,0.1,0.840198261156218,1
0.775,0.65,0.1,0.837171129212761,1
0.85,0.65,0.1,0.83542209741105,1
0.925,0.65,0.1,0.834843372748401,1
1,0.65,0.1,0.835340687257737,1
1.075,0.65,0.1,0.836831085095843,1
1.15,0.65,0.1,0.83924114965731,1
1.225,0.65,0.1,0.842505568900081,1
1.3,0.65,0.1,0.846565963690631,1
